ItemNo,Participant,Trial,ACondition,Plaus,Heard Answer,HA Wlength,Anumber,List,QCondition,QFile,Qnumber,Question,Expected Answer,EA Wlength,QLSA,response,Correct,Incorrect,Prop Heard,Block,Plaus HIT,Plaus Incorrect,NumberOfPlausibleWordsReported,NumberOfPlausibleWordsNotReported,Prop Expected
23,99079,12,Implausible,1.27,James bond,2,13,4b,Unpredictable,20U,20,Where would you like to go today?,Ten Downing Street,3,0.3,James Bond,2,0,1,3,0,3,0,3,0
17,99079,13,Implausible,1,A knife and fork,4,1,4b,Unpredictable,7U,7,When is your birthday?,December twenty fifth,3,0.5,,0,4,0,3,0,3,0,3,0
10,99079,14,Implausible,1.91,Snow White,2,19,4b,Unpredictable,21U,21,Where did you go swimming yesterday?,The Amazon river,3,0.34,,0,2,0,3,0,3,0,3,0
10,98950,1,Implausible,1.91,Snow White,2,19,4b,Unpredictable,21U,21,Where did you go swimming yesterday?,The Amazon river,3,0.34,shop,0,2,0,1,0,3,0,3,0
24,98950,2,Implausible,1.55,Black and white,3,4,4b,Unpredictable,5U,5,Which tourist attraction would you like to visit in London?,Buckingham Palace,2,0.33,left and right,1,2,0.333333333,1,0,2,0,2,0
6,98950,3,Implausible,2.64,Ham and pineapple,3,9,4b,Unpredictable,24U,24,What can you see out of your window?,The Northern Lights,3,0.28,field and cow,1,2,0.333333333,1,0,3,0,3,0
13,98950,4,Implausible,1.46,Harry Potter,2,10,4b,Unpredictable,16U,16,When would you next like to go for drinks?,New Years Eve,3,0.57,Harry Potter,2,0,1,1,0,3,0,3,0
31,98950,5,Implausible,1.27,The Eiffel Tower,3,22,4b,Unpredictable,6U,6,Who is your favourite animated character?,Buzz Lightyear,2,0.16,Michael Jordan,0,3,0,1,0,2,0,2,0
11,98950,6,Implausible,1.09,New York,2,17,4b,Unpredictable,28U,28,Who did you see when you visited London?,Theresa May,2,0.38,here,0,2,0,2,0,2,0,2,0
17,98950,7,Implausible,1,A knife and fork,4,1,4b,Unpredictable,7U,7,When is your birthday?,December twenty fifth,3,0.5,April 4th,0,4,0,2,0,3,0,3,0
15,98950,8,Implausible,2.91,Twice a day,3,30,4b,Unpredictable,3U,3,What is your brother's nickname?,Big Ben,2,0.11,twice a day,3,0,1,2,0,2,0,2,0
22,98950,9,Implausible,1.82,Molly and Arthur,3,15,4b,Unpredictable,27U,27,Where would you like to go when you visit America?,The White House,3,0.41,milton park,0,3,0,2,0,3,0,3,0
18,98950,10,Implausible,1.09,Robin hood,2,31,4b,Unpredictable,18U,18,When do you next have a day off work?,October thirty first,3,0.58,Bradford,0,2,0,2,0,3,0,3,0
23,98950,11,Implausible,1.27,James bond,2,13,4b,Unpredictable,20U,20,Where would you like to go today?,Ten Downing Street,3,0.3,Shares pond,0,2,0,3,0,3,0,3,0
20,98950,12,Implausible,1.27,Donald Trump,2,8,4b,Unpredictable,25U,25,Where did you go on your boat ride yesterday?,The Thames,2,0.33,torture,0,2,0,3,0,2,0,2,0
2,98950,13,Implausible,1.55,It hit an iceberg,4,12,4b,Unpredictable,14U,14,Where are you getting a train from?,Kings Cross,2,0.32,a bit of iceberg,1,3,0.25,3,0,2,0,2,0
29,98950,14,Implausible,1.36,The North Pole,3,23,4b,Unpredictable,2U,2,Who is your favourite sportsman?,Andy Murray,2,0.19,football,0,3,0,3,0,2,0,2,0
4,24531,1,Implausible,1.36,Big Ben,2,3,4a,Unpredictable,30U,30,How often do you go outside for a walk?,Twice a day,3,0.54,hmm,0,2,0,1,0,3,0,3,0
14,24531,2,Implausible,1.64,Ten Downing Street,3,20,4a,Unpredictable,31U,31,What is your best friend called?,Robin Hood,2,0.12,Neil,0,3,0,1,0,2,0,2,0
7,24531,3,Implausible,1.27,Tom Hanks,2,29,4a,Unpredictable,4U,4,What colours should I paint the wall?,Black and white,3,0.41,Yellow,0,2,0,1,0,3,0,3,0
1,24531,4,Implausible,1.64,December 25th,3,7,4a,Unpredictable,9U,9,What would you like for dinner?,Ham and Pineapple,3,0.31,December 25th,3,0,1,1,0,3,0,3,0
28,24531,5,Implausible,1.09,The Amazon River,3,21,4a,Unpredictable,8U,8,Who did you see interviewed on television recently?,Donald Trump,2,0.21,The amazon river,3,0,1,1,0,2,0,2,0
27,24531,6,Implausible,1.27,The Thames,2,25,4a,Unpredictable,19U,19,Who is your favourite fictional character?,Snow White,2,0.11,The 10,1,1,0.5,2,0,2,0,2,0
16,24531,7,Implausible,3.36,Kings Cross,2,14,4a,Unpredictable,13U,13,What is your favourite film?,James Bond,2,0.22,Kings cross,2,0,1,2,0,2,0,2,0
19,24531,8,Implausible,1.09,October thirty first,3,18,4a,Unpredictable,22U,22,Where are you going at Christmas?,The Eiffel Tower,3,0.51,October 31st,3,0,1,2,0,3,0,3,0
25,24531,9,Implausible,1.27,Buzz Lightyear,2,6,4a,Unpredictable,17U,17,Where would you like to go shopping?,New York,2,0.24,Buzz lightyear,2,0,1,2,0,2,0,2,0
26,24531,10,Implausible,2.18,The Northern Lights,3,24,4a,Unpredictable,11U,11,Who did you see when you visited America?,Hillary Clinton,2,0.37,The Northern Lights,3,0,1,2,0,2,0,2,0
12,24531,11,Implausible,4.91,The White House,3,27,4a,Unpredictable,10U,10,What is the name of your favourite book?,Harry Potter,2,0.35,The white house,3,0,1,3,0,2,0,2,0
21,24531,12,Implausible,1.64,New Years Eve,3,16,4a,Unpredictable,23U,23,Where would you like to go on holiday?,The Northe Pole,3,0.15,New year's eve,3,0,1,3,0,3,0,3,0
3,24531,13,Implausible,2.09,Andy Murray,2,2,4a,Unpredictable,12U,12,What happened to your boat?,It hit an iceberg,4,0.58,Andy Murray,2,0,1,3,0,4,0,4,0
5,24531,14,Implausible,1.55,The Tube,2,26,4a,Unpredictable,15U,15,What are your parents called?,Molly and Arthur,3,0.21,The train,1,1,0.5,3,0,3,0,3,0
13,43741,1,Plausible,7,New Years Eve,3,16,1b,Predictable,16P,16,What is the thirty first of December?,New Years Eve,3,0.8,new years eve,3,0,1,1,3,0,3,0,1
9,43741,2,Plausible,6.91,The Tube,2,26,1b,Predictable,26P,26,What is London's underground railway also known as?,The Tube,2,0.71,the tube,2,0,1,1,2,0,2,0,1
24,43741,3,Plausible,6.55,Buckingham Palace,2,5,1b,Predictable,5P,5,Where does the Queen live?,Buckingham Palace,2,0.72,Buckingham Palace,2,0,1,1,2,0,2,0,1
10,43741,4,Plausible,5.64,The Amazon River,3,21,1b,Predictable,21P,21,What is the longest river in the world?,The Amazon river,3,0.63,Amazon River,2,1,0.666666667,1,2,1,2,1,0.666666667
17,43741,5,Plausible,6.55,December 25th,3,7,1b,Predictable,7P,7,When do you celebrate Christmas?,December twenty fifth,3,0.9,December 25th,3,0,1,1,3,0,3,0,1
15,43741,6,Plausible,6.64,Big Ben,2,3,1b,Predictable,3P,3,Which famous clock is in London?,Big Ben,2,1,Big Ben,2,0,1,2,2,0,2,0,1
22,43741,7,Plausible,6.73,The White House,3,27,1b,Predictable,27P,27,Where does the president of America live?,The White House,3,0.84,The White House,3,0,1,2,3,0,3,0,1
20,43741,8,Plausible,6.91,The Thames,2,25,1b,Predictable,25P,25,Which river runs through London?,The Thames,2,0.69,The Thames,2,0,1,2,2,0,2,0,1
23,43741,9,Plausible,6.82,Ten Downing Street,3,20,1b,Predictable,20P,20,Where does the prime minister live?,Ten Downing Street,3,0.8,10 Downing Street,3,0,1,2,3,0,3,0,1
31,43741,10,Plausible,6.82,Buzz Lightyear,2,6,1b,Predictable,6P,6,Which space ranger starred in Toy Story?,Buzz Lightyear,2,0.93,Buzz Lightyear,2,0,1,2,2,0,2,0,1
18,43741,11,Plausible,7,October thirty first,3,18,1b,Predictable,18P,18,When do you celebrate Halloween?,October thirty first,3,0.89,october 31st,3,0,1,3,3,0,3,0,1
2,43741,12,Plausible,5.91,Kings Cross,2,14,1b,Predictable,14P,14,At which train station will you find platform nine and three quarters?,Kings Cross,2,0.74,Kings Cross,2,0,1,3,2,0,2,0,1
6,43741,13,Plausible,5.64,The Northern Lights,3,24,1b,Predictable,24P,24,What is Aurora Borealis commonly known as?,The Northern Lights,3,0.85,The Northern Lights,3,0,1,3,3,0,3,0,1
29,43741,14,Plausible,6.55,Andy Murray,2,2,1b,Predictable,2P,2,Who is the best Scottish tennis player?,Andy Murray,2,0.89,Andy Murray,2,0,1,3,2,0,2,0,1
5,50757,1,Plausible,6.27,Molly and Arthur,3,15,1a,Predictable,15P,15,What are the names of Ron Weasley's mum and dad?,Molly and Arthur,3,0.67,Roy and Affa,1,2,0.333333333,1,1,2,1,2,0.333333333
7,50757,2,Plausible,6.91,Black and white,3,4,1a,Predictable,4P,4,What colours are pandas?,Black and white,3,0.98,Black and white ,3,0,1,1,3,0,3,0,1
12,50757,3,Plausible,6.82,Harry Potter,2,10,1a,Predictable,10P,10,Which young wizard defeated Lord Voldemort?,Harry Potter,2,0.98,Harry Potter,2,0,1,1,2,0,2,0,1
25,50757,4,Plausible,7,New York,2,17,1a,Predictable,17P,17,Which city is the statue of liberty in?,New York,2,0.97,New York,2,0,1,1,2,0,2,0,1
27,50757,5,Plausible,6.91,Snow White,2,19,1a,Predictable,19P,19,Which fictional character lived with seven dwarves?,Snow White,2,1,Snow white,2,0,1,1,2,0,2,0,1
4,50757,6,Plausible,6.27,Twice a day,3,30,1a,Predictable,30P,30,How often does the dentist tell you to brush your teeth?,Twice a day,3,0.82,Twice a day,3,0,1,2,3,0,3,0,1
1,50757,7,Plausible,6.91,Ham and pineapple,3,9,1a,Predictable,9P,9,"As well as cheese and tomato, which two toppings are usually on a Hawaiian pizza?",Ham and Pineapple,3,0.89,Ham and pineapple ,3,0,1,2,3,0,3,0,1
21,50757,8,Plausible,5.27,The North Pole,3,23,1a,Predictable,23P,23,Where does Father Christmas live?,The Northe Pole,3,0.81,The North Pole ,3,0,1,2,3,0,3,0,1
3,50757,9,Plausible,6.64,It hit an iceberg,4,12,1a,Predictable,12P,12,How did The Titanic sink?,It hit an iceberg,4,0.72,It hit an iceberg ,4,0,1,2,4,0,4,0,1
14,50757,10,Plausible,5.82,Robin hood,2,31,1a,Predictable,31P,31,Who leads a gang of outlaws in Sherwood Forest?,Robin Hood,2,1,Robin Hood,2,0,1,2,2,0,2,0,1
19,50757,11,Plausible,6.27,The Eiffel Tower,3,22,1a,Predictable,22P,22,Which tall building is in Paris?,The Eiffel Tower,3,0.82,The Eiffel Tower ,3,0,1,3,3,0,3,0,1
8,50757,12,Plausible,6.46,A knife and fork,4,1,1a,Predictable,1P,1,Which cutlery should I use to cut my food?,A knife and fork,4,0.82,A knife and fork,4,0,1,3,4,0,4,0,1
16,50757,13,Plausible,7,James bond,2,13,1a,Predictable,13P,13,Which character starred in the famous 007 films?,James Bond,2,0.95,James Bond,2,0,1,3,2,0,2,0,1
28,50757,14,Plausible,6.91,Donald Trump,2,8,1a,Predictable,8P,8,Who is the newly elected president of America?,Donald Trump,2,0.94,Donald Trump,2,0,1,3,2,0,2,0,1
25,2156,1,Implausible,1.27,Buzz Lightyear,2,6,4a,Unpredictable,17U,17,Where would you like to go shopping?,New York,2,0.24,the market,0,2,0,1,0,2,0,2,0
16,2156,2,Implausible,3.36,Kings Cross,2,14,4a,Unpredictable,13U,13,What is your favourite film?,James Bond,2,0.22,Kings Cross,2,0,1,1,0,2,0,2,0
27,2156,3,Implausible,1.27,The Thames,2,25,4a,Unpredictable,19U,19,Who is your favourite fictional character?,Snow White,2,0.11,the teller,1,1,0.5,1,0,2,0,2,0
3,2156,4,Implausible,2.09,Andy Murray,2,2,4a,Unpredictable,12U,12,What happened to your boat?,It hit an iceberg,4,0.58,I don't know,0,2,0,1,0,4,0,4,0
21,2156,5,Implausible,1.64,New Years Eve,3,16,4a,Unpredictable,23U,23,Where would you like to go on holiday?,The Northe Pole,3,0.15,New Zealand,1,2,0.333333333,1,0,3,0,3,0
12,2156,6,Implausible,4.91,The White House,3,27,4a,Unpredictable,10U,10,What is the name of your favourite book?,Harry Potter,2,0.35,The White House,3,0,1,2,0,2,0,2,0
4,2156,7,Implausible,1.36,Big Ben,2,3,4a,Unpredictable,30U,30,How often do you go outside for a walk?,Twice a day,3,0.54,big ben,2,0,1,2,0,3,0,3,0
19,2156,8,Implausible,1.09,October thirty first,3,18,4a,Unpredictable,22U,22,Where are you going at Christmas?,The Eiffel Tower,3,0.51,October 31st,3,0,1,2,0,3,0,3,0
5,2156,9,Implausible,1.55,The Tube,2,26,4a,Unpredictable,15U,15,What are your parents called?,Molly and Arthur,3,0.21,a chain,0,2,0,2,0,3,0,3,0
1,2156,10,Implausible,1.64,December 25th,3,7,4a,Unpredictable,9U,9,What would you like for dinner?,Ham and Pineapple,3,0.31,December 25th,3,0,1,2,0,3,0,3,0
28,2156,11,Implausible,1.09,The Amazon River,3,21,4a,Unpredictable,8U,8,Who did you see interviewed on television recently?,Donald Trump,2,0.21,the Amazon River,3,0,1,3,0,2,0,2,0
14,2156,12,Implausible,1.64,Ten Downing Street,3,20,4a,Unpredictable,31U,31,What is your best friend called?,Robin Hood,2,0.12,10 Downing Street,3,0,1,3,0,2,0,2,0
26,2156,13,Implausible,2.18,The Northern Lights,3,24,4a,Unpredictable,11U,11,Who did you see when you visited America?,Hillary Clinton,2,0.37,the Northern Lights,3,0,1,3,0,2,0,2,0
7,2156,14,Implausible,1.27,Tom Hanks,2,29,4a,Unpredictable,4U,4,What colours should I paint the wall?,Black and white,3,0.41,Twelve oaks,0,2,0,3,0,3,0,3,0
5,98898,1,Plausible,7,Molly and Arthur,3,15,3a,Unpredictable,15U,15,What are your parents called?,Molly and Arthur,3,0.21,Milly and Jack,1,2,0.333333333,1,1,2,1,2,0.333333333
19,98898,2,Plausible,5.1,The Eiffel Tower,3,22,3a,Unpredictable,22U,22,Where are you going at Christmas?,The Eiffel Tower,3,0.51,The Eiffel Tower,3,0,1,1,3,0,3,0,1
27,98898,3,Plausible,6.55,Snow White,2,19,3a,Unpredictable,19U,19,Who is your favourite fictional character?,Snow White,2,0.11,Snow White,2,0,1,1,2,0,2,0,1
7,98898,4,Plausible,6.55,Black and white,3,4,3a,Unpredictable,4U,4,What colours should I paint the wall?,Black and white,3,0.41,black and white,3,0,1,1,3,0,3,0,1
3,98898,5,Plausible,6.09,It hit an iceberg,4,12,3a,Unpredictable,12U,12,What happened to your boat?,It hit an iceberg,4,0.58,it hit a light something,2,2,0.5,1,2,2,2,2,0.5
8,98898,6,Plausible,6.27,A knife and fork,4,1,3a,Unpredictable,1U,1,What did you buy from the shop?,A knife and fork,4,0.32,a knife and fork,4,0,1,2,4,0,4,0,1
4,98898,7,Plausible,6.64,Twice a day,3,30,3a,Unpredictable,30U,30,How often do you go outside for a walk?,Twice a day,3,0.54,twice a day,3,0,1,2,3,0,3,0,1
28,98898,8,Plausible,6.91,Donald Trump,2,8,3a,Unpredictable,8U,8,Who did you see interviewed on television recently?,Donald Trump,2,0.21,no idea,0,2,0,2,0,2,0,2,0
25,98898,9,Plausible,6.09,New York,2,17,3a,Unpredictable,17U,17,Where would you like to go shopping?,New York,2,0.24,here,0,2,0,2,0,2,0,2,0
12,98898,10,Plausible,6.27,Harry Potter,2,10,3a,Unpredictable,10U,10,What is the name of your favourite book?,Harry Potter,2,0.35,Harry Potter,2,0,1,2,2,0,2,0,1
16,98898,11,Plausible,5.18,James bond,2,13,3a,Unpredictable,13U,13,What is your favourite film?,James Bond,2,0.22,James Bond,2,0,1,3,2,0,2,0,1
14,98898,12,Plausible,4.91,Robin hood,2,31,3a,Unpredictable,31U,31,What is your best friend called?,Robin Hood,2,0.12,Robin Hood,2,0,1,3,2,0,2,0,1
1,98898,13,Plausible,4.91,Ham and pineapple,3,9,3a,Unpredictable,9U,9,What would you like for dinner?,Ham and Pineapple,3,0.31,ham and pineapple,3,0,1,3,3,0,3,0,1
21,98898,14,Plausible,5.82,The North Pole,3,23,3a,Unpredictable,23U,23,Where would you like to go on holiday?,The Northe Pole,3,0.15,the North Pole,3,0,1,3,3,0,3,0,1
28,78662,1,Implausible,1.09,The Amazon River,3,21,4a,Unpredictable,8U,8,Who did you see interviewed on television recently?,Donald Trump,2,0.21,not sure,0,3,0,1,0,2,0,2,0
26,78662,2,Implausible,2.18,The Northern Lights,3,24,4a,Unpredictable,11U,11,Who did you see when you visited America?,Hillary Clinton,2,0.37,people,0,3,0,1,0,2,0,2,0
12,78662,3,Implausible,4.91,The White House,3,27,4a,Unpredictable,10U,10,What is the name of your favourite book?,Harry Potter,2,0.35,the white house,3,0,1,1,0,2,0,2,0
19,78662,4,Implausible,1.09,October thirty first,3,18,4a,Unpredictable,22U,22,Where are you going at Christmas?,The Eiffel Tower,3,0.51,familys house,0,3,0,1,0,3,0,3,0
27,78662,5,Implausible,1.27,The Thames,2,25,4a,Unpredictable,19U,19,Who is your favourite fictional character?,Snow White,2,0.11,james bond,0,2,0,1,0,2,0,2,0
3,78662,6,Implausible,2.09,Andy Murray,2,2,4a,Unpredictable,12U,12,What happened to your boat?,It hit an iceberg,4,0.58,it sank,0,2,0,2,1,3,1,3,0.25
25,78662,7,Implausible,1.27,Buzz Lightyear,2,6,4a,Unpredictable,17U,17,Where would you like to go shopping?,New York,2,0.24,not sure,0,2,0,2,0,2,0,2,0
5,78662,8,Implausible,1.55,The Tube,2,26,4a,Unpredictable,15U,15,What are your parents called?,Molly and Arthur,3,0.21,not sure,0,2,0,2,0,3,0,3,0
1,78662,9,Implausible,1.64,December 25th,3,7,4a,Unpredictable,9U,9,What would you like for dinner?,Ham and Pineapple,3,0.31,pizza,0,3,0,2,0,3,0,3,0
16,78662,10,Implausible,3.36,Kings Cross,2,14,4a,Unpredictable,13U,13,What is your favourite film?,James Bond,2,0.22,kings cross,2,0,1,2,0,2,0,2,0
4,78662,11,Implausible,1.36,Big Ben,2,3,4a,Unpredictable,30U,30,How often do you go outside for a walk?,Twice a day,3,0.54,everyday,0,2,0,3,0,3,0,3,0
21,78662,12,Implausible,1.64,New Years Eve,3,16,4a,Unpredictable,23U,23,Where would you like to go on holiday?,The Northe Pole,3,0.15,not sure,0,3,0,3,0,3,0,3,0
14,78662,13,Implausible,1.64,Ten Downing Street,3,20,4a,Unpredictable,31U,31,What is your best friend called?,Robin Hood,2,0.12,stephen,0,3,0,3,0,2,0,2,0
7,78662,14,Implausible,1.27,Tom Hanks,2,29,4a,Unpredictable,4U,4,What colours should I paint the wall?,Black and white,3,0.41,blue,0,2,0,3,0,3,0,3,0
29,80873,1,Plausible,6.55,Andy Murray,2,2,1b,Predictable,2P,2,Who is the best Scottish tennis player?,Andy Murray,2,0.89,Andy Murray,2,0,1,1,2,0,2,0,1
6,80873,2,Plausible,5.64,The Northern Lights,3,24,1b,Predictable,24P,24,What is Aurora Borealis commonly known as?,The Northern Lights,3,0.85,The northern lights,3,0,1,1,3,0,3,0,1
2,80873,3,Plausible,5.91,Kings Cross,2,14,1b,Predictable,14P,14,At which train station will you find platform nine and three quarters?,Kings Cross,2,0.74,Kings Cross,2,0,1,1,2,0,2,0,1
18,80873,4,Plausible,7,October thirty first,3,18,1b,Predictable,18P,18,When do you celebrate Halloween?,October thirty first,3,0.89,October 31st,3,0,1,1,3,0,3,0,1
23,80873,5,Plausible,6.82,Ten Downing Street,3,20,1b,Predictable,20P,20,Where does the prime minister live?,Ten Downing Street,3,0.8,10 downing street,3,0,1,1,3,0,3,0,1
20,80873,6,Plausible,6.91,The Thames,2,25,1b,Predictable,25P,25,Which river runs through London?,The Thames,2,0.69,the thames,2,0,1,2,2,0,2,0,1
31,80873,7,Plausible,6.82,Buzz Lightyear,2,6,1b,Predictable,6P,6,Which space ranger starred in Toy Story?,Buzz Lightyear,2,0.93,buzz lightyear,2,0,1,2,2,0,2,0,1
10,80873,8,Plausible,5.64,The Amazon River,3,21,1b,Predictable,21P,21,What is the longest river in the world?,The Amazon river,3,0.63,the amazon river,3,0,1,2,3,0,3,0,1
9,80873,9,Plausible,6.91,The Tube,2,26,1b,Predictable,26P,26,What is London's underground railway also known as?,The Tube,2,0.71,the tube,2,0,1,2,2,0,2,0,1
15,80873,10,Plausible,6.64,Big Ben,2,3,1b,Predictable,3P,3,Which famous clock is in London?,Big Ben,2,1,big ben,2,0,1,2,2,0,2,0,1
17,80873,11,Plausible,6.55,December 25th,3,7,1b,Predictable,7P,7,When do you celebrate Christmas?,December twenty fifth,3,0.9,december 25th,3,0,1,3,3,0,3,0,1
22,80873,12,Plausible,6.73,The White House,3,27,1b,Predictable,27P,27,Where does the president of America live?,The White House,3,0.84,the white house,3,0,1,3,3,0,3,0,1
13,80873,13,Plausible,7,New Years Eve,3,16,1b,Predictable,16P,16,What is the thirty first of December?,New Years Eve,3,0.8,new years eve,3,0,1,3,3,0,3,0,1
24,80873,14,Plausible,6.55,Buckingham Palace,2,5,1b,Predictable,5P,5,Where does the Queen live?,Buckingham Palace,2,0.72,buckingham palace,2,0,1,3,2,0,2,0,1
14,98290,1,Plausible,5.82,Robin hood,2,31,1a,Predictable,31P,31,Who leads a gang of outlaws in Sherwood Forest?,Robin Hood,2,1,robin hood,2,0,1,1,2,0,2,0,1
7,98290,2,Plausible,6.91,Black and white,3,4,1a,Predictable,4P,4,What colours are pandas?,Black and white,3,0.98,black and white,3,0,1,1,3,0,3,0,1
3,98290,3,Plausible,6.64,It hit an iceberg,4,12,1a,Predictable,12P,12,How did The Titanic sink?,It hit an iceberg,4,0.72,it hit an iceburg,4,0,1,1,4,0,4,0,1
4,98290,4,Plausible,6.27,Twice a day,3,30,1a,Predictable,30P,30,How often does the dentist tell you to brush your teeth?,Twice a day,3,0.82,twice a day,3,0,1,1,3,0,3,0,1
21,98290,5,Plausible,5.27,The North Pole,3,23,1a,Predictable,23P,23,Where does Father Christmas live?,The Northe Pole,3,0.81,the north pole,3,0,1,1,3,0,3,0,1
16,98290,6,Plausible,7,James bond,2,13,1a,Predictable,13P,13,Which character starred in the famous 007 films?,James Bond,2,0.95,james bons,2,0,1,2,2,0,2,0,1
1,98290,7,Plausible,6.91,Ham and pineapple,3,9,1a,Predictable,9P,9,"As well as cheese and tomato, which two toppings are usually on a Hawaiian pizza?",Ham and Pineapple,3,0.89,ham and pineapple,3,0,1,2,3,0,3,0,1
12,98290,8,Plausible,6.82,Harry Potter,2,10,1a,Predictable,10P,10,Which young wizard defeated Lord Voldemort?,Harry Potter,2,0.98,harry potter,2,0,1,2,2,0,2,0,1
28,98290,9,Plausible,6.91,Donald Trump,2,8,1a,Predictable,8P,8,Who is the newly elected president of America?,Donald Trump,2,0.94,donald trump,2,0,1,2,2,0,2,0,1
25,98290,10,Plausible,7,New York,2,17,1a,Predictable,17P,17,Which city is the statue of liberty in?,New York,2,0.97,new york,2,0,1,2,2,0,2,0,1
8,98290,11,Plausible,6.46,A knife and fork,4,1,1a,Predictable,1P,1,Which cutlery should I use to cut my food?,A knife and fork,4,0.82,a knife and fork,4,0,1,3,4,0,4,0,1
27,98290,12,Plausible,6.91,Snow White,2,19,1a,Predictable,19P,19,Which fictional character lived with seven dwarves?,Snow White,2,1,snow white,2,0,1,3,2,0,2,0,1
5,98290,13,Plausible,6.27,Molly and Arthur,3,15,1a,Predictable,15P,15,What are the names of Ron Weasley's mum and dad?,Molly and Arthur,3,0.67,molly and arthur,3,0,1,3,3,0,3,0,1
19,98290,14,Plausible,6.27,The Eiffel Tower,3,22,1a,Predictable,22P,22,Which tall building is in Paris?,The Eiffel Tower,3,0.82,eifel tower,2,1,0.666666667,3,2,1,2,1,0.666666667
18,74472,1,Implausible,1.36,Robin hood,2,31,2b,Predictable,18P,18,When do you celebrate Halloween?,October thirty first,3,0.89,Christmas,0,2,0,1,0,3,0,3,0
6,74472,2,Implausible,1.73,Ham and pineapple,3,9,2b,Predictable,24P,24,What is Aurora Borealis commonly known as?,The Northern Lights,3,0.85,Galaxy,0,3,0,1,0,3,0,3,0
17,74472,3,Implausible,1.09,A knife and fork,4,1,2b,Predictable,7P,7,When do you celebrate Christmas?,December twenty fifth,3,0.9,A way in flat,1,3,0.25,1,0,3,0,3,0
15,74472,4,Implausible,1.27,Twice a day,3,30,2b,Predictable,3P,3,Which famous clock is in London?,Big Ben,2,1,Chris,0,3,0,1,0,2,0,2,0
20,74472,5,Implausible,1.09,Donald Trump,2,8,2b,Predictable,25P,25,Which river runs through London?,The Thames,2,0.69,Donna,0,2,0,1,0,2,0,2,0
9,74472,6,Implausible,1.36,Hillary Clinton,2,11,2b,Predictable,26P,26,What is London's underground railway also known as?,The Tube,2,0.71,The aurora,0,2,0,2,1,1,1,1,0.5
29,74472,7,Implausible,1,The North Pole,3,23,2b,Predictable,2P,2,Who is the best Scottish tennis player?,Andy Murray,2,0.89,Banana,0,3,0,2,0,2,0,2,0
10,74472,8,Implausible,1.91,Snow White,2,19,2b,Predictable,21P,21,What is the longest river in the world?,The Amazon river,3,0.63,Small mind,0,2,0,2,0,3,0,3,0
24,74472,9,Implausible,1.27,Black and white,3,4,2b,Predictable,5P,5,Where does the Queen live?,Buckingham Palace,2,0.72,Buckingham palace,0,3,0,2,2,0,2,0,1
22,74472,10,Implausible,1.09,Molly and Arthur,3,15,2b,Predictable,27P,27,Where does the president of America live?,The White House,3,0.84,Money and,1,2,0.333333333,2,0,3,0,3,0
31,74472,11,Implausible,1.27,The Eiffel Tower,3,22,2b,Predictable,6P,6,Which space ranger starred in Toy Story?,Buzz Lightyear,2,0.93,The eiffel tower,2,1,0.666666667,3,0,2,0,2,0
